1,鶏の黒胡椒焼き,0,16.9,ファミデリカ,Familymart,http://www.family.co.jp/content/dam/family/goods/1110067.jpg
2,牛すじ串,0,5.6,おでん,Familymart,http://www.family.co.jp/content/dam/family/goods/0271103.jpg
3,あたりめ,0.1,10.9,お菓子,Familymart,http://www.family.co.jp/content/dam/family/goods/5011032.jpg
4,あたりめマヨネーズ付き,0.2,30.1,お菓子,Familymart,http://www.family.co.jp/content/dam/family/goods/5011001.jpg
5,ピリッと焼きするめ,0.4,9.2,お菓子,Familymart,http://www.family.co.jp/content/dam/family/goods/5011063.jpg
6,こだわり味付たまご,0.5,6.3,おでん,Familymart,http://www.family.co.jp/content/dam/family/goods/0271110.jpg
7,ブレンドS,1,0.5,コーヒー・フラッペ,Familymart,http://www.family.co.jp/content/dam/family/goods/0211116.jpg
8,アイスコーヒーS,1.1,0.5,コーヒー・フラッペ,Familymart,http://www.family.co.jp/content/dam/family/goods/0211178.jpg
9,焼きするめげそ,1.3,10.1,お菓子,Familymart,http://www.family.co.jp/content/dam/family/goods/5011025.jpg
10,国産厚切大根,1.3,0.4,おでん,Familymart,http://www.family.co.jp/content/dam/family/goods/0270953.jpg
11,ブレンドM,1.4,0.7,コーヒー・フラッペ,Familymart,http://www.family.co.jp/content/dam/family/goods/0211123.jpg
12,スパイシービーフジャーキー,1.5,5,お菓子,Familymart,http://www.family.co.jp/content/dam/family/goods/5017836.jpg
13,アイスコーヒーM,1.5,0.6,コーヒー・フラッペ,Familymart,http://www.family.co.jp/content/dam/family/goods/0211185.jpg
14,紅茶,1.5,0.6,コーヒー・フラッペ,Familymart,http://www.family.co.jp/content/dam/family/goods/0211048.jpg
15,焼ししゃも,1.6,10.3,お菓子,Familymart,http://www.family.co.jp/content/dam/family/goods/5012817.jpg
16,国産具材のがんも,1.7,5.6,おでん,Familymart,http://www.family.co.jp/content/dam/family/goods/2709500.jpg
17,昆布巻,1.8,0.4,おでん,Familymart,http://www.family.co.jp/content/dam/family/goods/111111.jpg
18,熟成あらびきウインナー,1.8,4.2,おでん,Familymart,http://www.family.co.jp/content/dam/family/goods/0271097.jpg
19,ブレンドL,1.9,0.9,コーヒー・フラッペ,Familymart,http://www.family.co.jp/content/dam/family/goods/0211130.jpg
20,つゆだくがんも(枝豆入り),1.9,6.4,おでん,Familymart,http://www.family.co.jp/content/dam/family/goods/0271073.jpg
21,国産こんにゃく,2,0.3,おでん,Familymart,http://www.family.co.jp/content/dam/family/goods/0270984.jpg
22,串玉こんにゃく,2.3,0.3,おでん,Familymart,http://www.family.co.jp/content/dam/family/goods/222222.jpg
23,つみれ,2.6,5,おでん,Familymart,http://www.family.co.jp/content/dam/family/goods/0271134.jpg
24,はんぺん,2.8,4.8,おでん,Familymart,http://www.family.co.jp/content/dam/family/goods/0271141.jpg
25,国産結び白滝,2.9,0.1,おでん,Familymart,http://www.family.co.jp/content/dam/family/goods/0270960.jpg
26,厚揚（絹）,3.1,6.6,おでん,Familymart,http://www.family.co.jp/content/dam/family/goods/0271011.jpg
27,ジャンボフランク,3.3,11.3,ホットスナック・揚げ物,Familymart,http://www.family.co.jp/content/dam/family/goods/0254267.jpg
28,にら玉揚げ,3.4,3.3,おでん,Familymart,http://www.family.co.jp/content/dam/family/goods/0271240.jpg
